Config,n_factors,hidden_dims,lr,epochs,Final Loss,Precision@10,Recall@10,NDCG@10
1,16,"[32, 16]",0.001,30,1.1346308889389038,0.003767660910518054,0.023076923076923075,0.013827887702532168
2,32,"[64, 32, 16]",0.001,50,0.8191616137027741,0.0032967032967032967,0.017634746206174775,0.007929507536374026
3,64,"[128, 64, 32]",0.001,50,15.979699996948241,0.0031397174254317113,0.012977498691784405,0.007423287390800286
4,32,"[64, 32, 16]",0.0005,50,15.970349998474122,0.0031397174254317113,0.012977498691784405,0.007423287390800286
5,32,"[64, 32, 16]",0.005,50,0.40896866893768313,0.004081632653061225,0.021873364730507588,0.013429285214758703
